cloud_account_id,cloud_device_id,is_indoor,is_public,latitude,longitude,mcpm10,mcpm10_aqi,mcpm1x0,mcpm2x5,mcpm2x5_aqi,mcpm4x0,model,ncpm0x5,ncpm10,ncpm1x0,ncpm2x5,ncpm4x0,rh,serial,temperature,timestamp,tpsize,time_delta
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,41,48,48,48,48,55,81432039072,12.0,2022-12-06 00:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,39,46,45,46,46,56,81432039072,11.9,2022-12-06 00:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,39,46,46,46,46,57,81432039072,11.9,2022-12-06 00:56:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,41,48,48,48,48,57,81432039072,11.7,2022-12-06 01:11:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,41,48,48,48,48,58,81432039072,11.6,2022-12-06 01:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,40,47,47,47,47,59,81432039072,11.5,2022-12-06 01:41:53+00:00,0.51,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,60,81432039072,11.4,2022-12-06 01:56:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,50,49,49,50,60,81432039072,11.4,2022-12-06 02:11:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,51,51,51,51,61,81432039072,11.3,2022-12-06 02:26:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,44,52,52,52,52,62,81432039072,11.2,2022-12-06 02:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,50,50,50,50,63,81432039072,11.2,2022-12-06 02:56:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,65,81432039072,11.1,2022-12-06 03:11:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,51,51,51,51,66,81432039072,10.9,2022-12-06 03:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,50,49,50,50,65,81432039072,11.0,2022-12-06 03:41:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,65,81432039072,11.2,2022-12-06 03:56:53+00:00,0.51,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,40,48,47,48,48,64,81432039072,11.4,2022-12-06 04:11:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,41,49,48,49,49,64,81432039072,11.4,2022-12-06 04:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,64,81432039072,11.4,2022-12-06 04:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,50,50,50,50,64,81432039072,11.4,2022-12-06 04:56:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,64,81432039072,11.5,2022-12-06 05:11:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,51,51,51,51,64,81432039072,11.6,2022-12-06 05:26:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,46,54,53,54,54,64,81432039072,11.5,2022-12-06 05:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,64,81432039072,11.6,2022-12-06 05:56:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,44,52,51,52,52,66,81432039072,11.5,2022-12-06 06:11:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,47,55,55,55,55,68,81432039072,11.2,2022-12-06 06:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,47,56,55,56,56,68,81432039072,11.0,2022-12-06 06:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,48,57,56,57,57,69,81432039072,11.0,2022-12-06 06:56:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,46,55,54,55,55,69,81432039072,11.1,2022-12-06 07:11:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,45,53,53,53,53,68,81432039072,11.2,2022-12-06 07:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,45,53,53,53,53,69,81432039072,11.1,2022-12-06 07:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,45,53,53,53,53,69,81432039072,11.0,2022-12-06 07:56:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,46,54,54,54,54,69,81432039072,10.9,2022-12-06 08:11:53+00:00,0.51,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,46,54,54,54,54,69,81432039072,10.9,2022-12-06 08:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,45,54,53,54,54,69,81432039072,10.9,2022-12-06 08:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,47,55,55,55,55,69,81432039072,10.9,2022-12-06 08:56:53+00:00,0.51,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,48,56,56,56,56,69,81432039072,11.0,2022-12-06 09:11:53+00:00,0.48,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,48,56,56,56,56,69,81432039072,11.1,2022-12-06 09:26:53+00:00,0.51,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,46,55,54,55,55,69,81432039072,11.1,2022-12-06 09:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,45,53,53,53,53,69,81432039072,11.2,2022-12-06 09:56:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,44,51,51,51,51,70,81432039072,11.2,2022-12-06 10:11:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,50,50,50,50,69,81432039072,11.3,2022-12-06 10:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,50,49,50,50,69,81432039072,11.3,2022-12-06 10:41:53+00:00,0.5,15.0
